Recipient Balochi BantuKenya BantuSouthAfrica Druze EastSicilian English Hadza Han Ireland Japanese Makrani Mandenka Maya Naxi Russian Sardinian Saudi Scottish She Sindhi Surui Syrian Turkish UAE Uygur Yemeni
Hadza2 7.285 28.763 19.883 15.499 4.262 1.539 59.135 9.640 2.058 8.192 8.502 37.461 6.068 2.250 6.970 8.888 5.297 1.903 2.843 7.876 1.451 7.283 5.750 4.206 2.996 2.624
Hadza3 7.158 28.681 15.305 16.010 5.454 1.704 57.306 10.158 2.107 8.182 10.407 35.009 5.031 2.622 7.187 9.758 7.852 1.968 2.761 7.816 1.592 8.896 5.583 4.310 3.478 2.287
Han1 8.830 2.330 1.175 14.249 3.804 1.855 0.433 62.913 2.805 43.667 7.623 3.743 14.118 12.848 10.556 9.042 2.987 2.159 22.558 11.471 5.366 5.139 7.207 3.016 7.338 1.390
Han2 8.503 1.534 1.228 12.114 3.248 2.055 0.500 63.171 2.760 52.297 7.525 3.713 15.715 12.250 9.153 8.878 2.722 2.266 17.179 10.151 5.838 5.451 7.530 2.844 8.897 1.101
Han3 7.938 2.396 1.315 12.774 3.551 2.260 0.575 69.706 1.947 40.075 9.577 4.029 14.768 14.212 10.492 8.733 3.244 2.348 20.359 10.713 4.077 5.341 7.115 3.207 6.743 1.129
Han4 8.053 1.743 1.226 14.653 3.289 2.141 0.657 54.060 2.844 49.955 9.165 3.414 17.673 14.126 9.447 8.397 2.813 2.058 18.570 10.097 5.228 5.374 6.639 2.576 13.016 1.408
Han5 8.976 2.163 1.644 12.491 3.330 1.851 0.455 60.555 2.876 45.832 8.658 3.739 15.652 15.566 11.359 9.357 3.058 1.919 18.129 10.046 5.217 5.393 7.840 2.873 8.675 0.965
Han6 7.308 1.792 1.176 11.371 2.953 1.763 0.339 70.175 2.668 55.304 7.145 3.490 14.308 13.401 10.162 7.280 2.751 1.997 16.984 8.184 4.212 4.579 6.482 2.331 9.540 0.928
Han7 8.080 1.579 0.932 13.310 3.272 1.776 0.471 61.548 2.347 54.348 8.012 3.277 15.616 12.204 9.548 9.341 3.163 1.829 17.934 9.694 4.161 5.645 7.928 3.250 8.288 1.069
Han8 8.798 1.822 1.184 14.090 3.220 2.029 0.414 70.208 2.722 41.391 7.683 3.210 12.066 14.944 9.836 8.853 3.201 1.759 21.776 9.909 3.497 5.827 7.543 2.841 8.915 0.886
Han9 8.032 2.347 1.200 12.790 3.170 2.462 0.457 62.707 2.224 45.075 7.442 3.508 19.387 14.898 10.689 8.713 3.322 1.699 19.865 9.559 4.854 4.655 6.063 2.781 9.657 1.064
Han10 7.440 1.534 1.126 12.041 3.245 1.586 0.393 63.594 2.740 49.688 7.769 2.891 15.341 15.780 9.763 7.920 2.652 2.240 17.298 10.409 5.484 4.761 6.609 3.702 11.176 1.442
Han11 8.348 1.680 0.994 12.604 3.073 2.005 0.567 64.562 2.278 46.940 8.289 3.298 14.222 13.839 11.635 8.943 2.932 1.693 20.492 9.320 4.037 5.745 7.502 2.737 9.859 1.026
Han12 7.832 1.812 1.090 12.684 2.994 2.108 0.509 72.620 2.598 44.762 7.317 3.380 15.107 15.592 9.023 8.778 3.627 1.749 20.235 8.637 3.817 5.015 7.425 2.811 5.632 1.467
Han13 9.393 1.836 1.339 12.955 3.462 1.558 0.384 71.588 2.198 43.480 7.757 3.446 13.524 10.325 11.031 8.512 3.445 1.956 19.786 10.513 5.288 5.265 6.770 2.781 9.021 1.011
Han14 7.306 1.866 1.138 11.008 3.209 2.085 0.627 66.963 2.249 54.283 7.644 3.431 15.380 12.764 9.329 7.503 2.231 1.810 19.882 9.011 5.483 4.674 6.991 3.492 7.382 0.882
Han15 8.584 2.013 1.319 14.014 3.539 1.921 0.448 60.964 2.306 44.881 8.641 3.642 14.259 13.193 10.680 8.849 3.015 1.820 23.146 10.585 6.225 5.269 6.491 3.008 8.388 1.424
Han16 7.681 1.423 1.295 13.600 2.739 1.771 0.356 75.989 1.966 44.311 8.050 3.031 15.344 13.580 9.155 7.610 3.457 1.835 17.160 8.548 4.908 5.849 5.804 2.534 9.593 1.036
Han17 8.065 1.521 1.160 13.254 4.013 2.610 0.594 69.625 2.372 46.528 7.142 3.050 13.726 11.907 10.909 8.326 3.347 2.154 19.517 10.715 4.793 4.996 7.258 2.693 7.260 1.089
Han18 7.522 1.617 1.074 12.429 3.716 2.105 0.693 65.013 2.289 51.125 8.280 3.602 15.030 13.546 9.628 8.525 2.852 1.639 16.653 9.106 4.984 5.312 8.910 2.934 8.953 1.086
Han19 7.502 2.337 1.236 12.803 3.247 1.663 0.464 71.114 2.139 41.926 8.956 3.099 13.612 13.253 10.135 9.811 2.867 1.813 24.258 8.725 4.426 4.423 6.173 3.330 8.278 1.034
Han20 8.001 1.675 1.076 12.468 3.272 1.664 0.673 64.510 2.799 47.963 8.397 3.863 14.040 12.085 9.693 8.161 3.745 2.014 19.696 10.961 5.324 6.237 7.815 2.987 8.534 0.970
Han21 7.948 1.653 1.108 11.919 3.436 2.207 0.504 68.423 2.955 42.407 9.202 3.432 13.842 13.900 11.652 9.501 3.780 1.793 18.813 9.312 4.795 5.089 6.182 3.410 10.257 1.103
